year,gdp_usd_bn,gdp_growth_pct,gdp_per_capita_usd,inflation_cpi_pct,unemployment_pct,remittances_usd_bn,exports_usd_bn,imports_usd_bn,trade_balance_usd_bn,forex_reserves_usd_bn,policy_rate_pct,pkr_per_usd,public_debt_gdp_pct,current_account_usd_bn,fdi_inflows_usd_bn,population_mn,literacy_rate_pct,agriculture_gdp_pct,services_gdp_pct,industry_gdp_pct,tax_revenue_gdp_pct,mobile_per_100,imf_program_active,key_events,remittances_gdp_pct,exports_gdp_pct,imports_gdp_pct,fdi_gdp_pct,gdp_growth_category,inflation_category,decade
2000,99.9,3.9,624,4.4,7.8,1.08,9.2,10.3,-1.1,1.7,13.0,51.8,82.0,-0.2,0.31,142.3,43.9,26.0,47.2,26.8,9.3,0.3,0,Post-sanctions recovery,1.08,9.21,10.31,0.31,Moderate Growth,Low,2000s
2001,101.4,2.0,614,3.1,7.8,1.46,9.8,10.3,-0.5,3.0,12.0,61.4,79.0,0.3,0.38,145.5,45.0,25.1,47.8,27.1,9.7,0.6,0,9/11 impact + debt relief,1.44,9.66,10.16,0.37,Low Growth,Low,2000s
2002,107.6,3.1,628,3.5,8.3,2.39,10.0,10.9,-0.9,4.8,7.5,59.7,75.0,3.9,0.82,148.7,46.0,24.3,48.0,27.7,10.1,1.8,0,Economic reform start,2.22,9.29,10.13,0.76,Moderate Growth,Low,2000s
2003,116.3,4.7,657,3.1,8.3,3.96,11.7,12.2,-0.5,9.5,7.5,57.8,68.0,4.1,0.53,151.9,47.0,23.5,49.1,27.4,10.5,3.3,0,Growth acceleration,3.4,10.06,10.49,0.46,Moderate Growth,Low,2000s
2004,126.7,7.4,697,7.4,7.7,3.87,14.0,15.5,-1.5,10.6,7.5,57.6,65.0,1.5,1.12,155.1,48.7,22.5,50.5,27.0,10.5,7.7,0,High growth period,3.05,11.05,12.23,0.88,High Growth,Moderate,2000s
2005,137.4,9.0,736,9.3,7.7,4.28,16.5,25.4,-8.9,12.0,9.0,59.5,60.0,-1.5,2.2,158.3,50.5,21.6,52.2,26.2,10.8,12.3,0,Record growth 8.6%,3.11,12.01,18.49,1.6,High Growth,Moderate,2000s
2006,152.4,5.8,795,7.9,6.2,5.12,18.6,30.5,-11.9,13.1,9.5,60.4,56.0,-5.0,4.27,161.6,52.0,21.3,53.0,25.7,10.9,34.5,0,Growth slowdown,3.36,12.2,20.01,2.8,Moderate Growth,Moderate,2000s
2007,168.0,6.8,855,7.6,5.2,6.14,17.5,28.6,-11.1,15.0,10.0,60.9,55.0,-6.9,5.59,164.9,53.6,21.0,53.4,25.6,10.3,55.1,1,Global commodity boom,3.65,10.42,17.02,3.33,High Growth,Moderate,2000s
2008,192.5,5.0,956,12.0,5.2,6.45,20.4,39.9,-19.5,11.4,15.0,62.6,58.0,-13.9,5.44,168.2,54.2,21.5,52.1,26.4,10.5,58.3,0,Global financial crisis,3.35,10.6,20.73,2.83,Moderate Growth,High,2000s
2009,173.6,2.6,843,20.8,5.5,7.81,19.6,31.7,-12.1,13.0,12.5,78.5,57.0,-3.9,2.34,171.6,55.5,21.8,52.0,26.2,9.1,57.7,1,IMF bailout + floods,4.5,11.29,18.26,1.35,Low Growth,Hyperinflationary,2000s
